# Generated at 2024-04-22 01:04:26 (12:00) by AQUARIUS Time-Series 23.2.146.0
# UTC+12
# Period Selected: Entire Record
#
# Comment: Daily mean statistics in general
# Description: daily_mean.json
# ReportTitle: Discharge.Master@EW387
# a1472e21-c8ad-49ff-8ba0-4630803d2d24 Discharge.Master@EW387: Mean (1 Day)
#
# CSV data starts at line 12
#
TimeStamp,Discharge@EW387
2010-05-12 00:00:00,0.157907489677165
2010-05-13 00:00:00,0.174677620969414
2010-05-14 00:00:00,0.251093074561065
2010-05-15 00:00:00,0.237193676665334
2010-05-16 00:00:00,0.213214255957094
2010-05-17 00:00:00,0.218140228169611
2010-05-18 00:00:00,0.21700402611983
2010-05-19 00:00:00,0.208484912011903
2010-05-20 00:00:00,0.199448220328392
2010-05-21 00:00:00,0.195044656572404
2010-05-22 00:00:00,0.210124808534741
2010-05-23 00:00:00,0.232710249064444
2010-05-24 00:00:00,0.234227516751885
2010-05-25 00:00:00,20.3547719048119
2010-05-26 00:00:00,
2010-05-27 00:00:00,
2010-05-28 00:00:00,
2010-05-29 00:00:00,
2010-05-30 00:00:00,
2010-05-31 00:00:00,
2010-06-01 00:00:00,
2010-06-02 00:00:00,
2010-06-03 00:00:00,
2010-06-04 00:00:00,
2010-06-05 00:00:00,
2010-06-06 00:00:00,
2010-06-07 00:00:00,
2010-06-08 00:00:00,
2010-06-09 00:00:00,
2010-06-10 00:00:00,
2010-06-11 00:00:00,
2010-06-12 00:00:00,
2010-06-13 00:00:00,
2010-06-14 00:00:00,
2010-06-15 00:00:00,
2010-06-16 00:00:00,
2010-06-17 00:00:00,
2010-06-18 00:00:00,
2010-06-19 00:00:00,
2010-06-20 00:00:00,
2010-06-21 00:00:00,
2010-06-22 00:00:00,
2010-06-23 00:00:00,1.24271472431023
2010-06-24 00:00:00,1.15518735000733
2010-06-25 00:00:00,1.05467442250193
2010-06-26 00:00:00,1.00984784279859
2010-06-27 00:00:00,1.00022741768297
2010-06-28 00:00:00,1.00983380427387
2010-06-29 00:00:00,0.988794176136545
2010-06-30 00:00:00,0.937639229395053
2010-07-01 00:00:00,0.868571607431681
2010-07-02 00:00:00,0.814157796454616
2010-07-03 00:00:00,0.763979740895786
2010-07-04 00:00:00,0.738918869792059
2010-07-05 00:00:00,0.715493675509158
2010-07-06 00:00:00,0.687177048276784
2010-07-07 00:00:00,0.662767584297914
2010-07-08 00:00:00,0.649448486960838
2010-07-09 00:00:00,0.771640373270165
2010-07-10 00:00:00,0.791442631237827
2010-07-11 00:00:00,0.662253423683982
2010-07-12 00:00:00,0.584277111678654
2010-07-13 00:00:00,0.604671906108053
2010-07-14 00:00:00,0.607235245924957
2010-07-15 00:00:00,0.589711737169033
2010-07-16 00:00:00,0.585542516241183
2010-07-17 00:00:00,0.642398549354417
2010-07-18 00:00:00,0.759780908551796
2010-07-19 00:00:00,0.669164239723705
2010-07-20 00:00:00,0.661191183792226
2010-07-21 00:00:00,0.69671996942493
2010-07-22 00:00:00,0.638330435741489
2010-07-23 00:00:00,1.49477821401836
2010-07-24 00:00:00,1.91228434640266
2010-07-25 00:00:00,1.45783677836039
2010-07-26 00:00:00,1.23864918342419
2010-07-27 00:00:00,1.39733702097802
2010-07-28 00:00:00,1.31036602856158
2010-07-29 00:00:00,1.10780418409412
2010-07-30 00:00:00,0.985409665998393
2010-07-31 00:00:00,0.916892641997148
2010-08-01 00:00:00,0.909898145960939
2010-08-02 00:00:00,1.05981725683746
2010-08-03 00:00:00,1.0439279829805
2010-08-04 00:00:00,0.923750051091086
2010-08-05 00:00:00,0.885285697103616
2010-08-06 00:00:00,0.853563856440619
2010-08-07 00:00:00,0.835901331896272
2010-08-08 00:00:00,1.35603057403049
2010-08-09 00:00:00,1.69337171812944
2010-08-10 00:00:00,1.52515722632514
2010-08-11 00:00:00,1.39962362883391
